run_id,mode,block,policy_seed,seed,cubeA_x,cubeA_y,cubeA_theta,cubeB_x,cubeB_y,cubeB_theta,separation,relative_yaw,relative_yaw_mod90,face_gap,dist_A,dist_B,dist_max,dist_min,success_once,success_at_end,ep_len,ever_grasped,ever_placed,ever_static,final_cubeA_x,final_cubeA_y,final_cubeA_z,cubeB_displacement
mode_gap_seed3,gap,3,3,14177,-0.006329596042633057,0.08142188936471939,2.997275608023281,-0.05653039366006851,0.12246996909379959,2.099426411984813,0.06484647200019164,-0.897849196038468,0.6729471307564285,0.011676747939616528,0.6140921630515609,0.571740495797975,0.6140921630515609,0.571740495797975,1,0,200,1,1,1,-0.04515352100133896,0.05798429995775223,0.01999993994832039,0.021476925375251733
mode_gap_seed3,gap,3,3,14179,-0.07152389734983444,0.11311399191617966,2.632378563881566,-0.0045761838555336,0.12514489889144897,2.83235004793612,0.06802013720040981,0.1999714840545539,0.1999714840545539,0.012837847692648383,0.5551225534231399,0.6231199571791328,0.6231199571791328,0.5551225534231399,1,1,200,1,1,1,0.0018748030997812748,0.12376824766397476,0.05999768152832985,0.016577385043867153
mode_gap_seed3,gap,3,3,14200,0.07658466696739197,0.12540560960769653,-0.5190046595481825,0.0905807763338089,0.0649060383439064,-0.47109920181569276,0.06209741701954377,0.047905457732489776,0.047905457732489776,0.005657304324676378,0.7028626597746365,0.7085598250997026,0.7085598250997026,0.7028626597746365,0,0,200,1,1,1,0.06062992662191391,0.0004703231097664684,0.019999910145998,0.04696291062500817
mode_gap_seed3,gap,3,3,14201,-0.0023450180888175964,-0.035724811255931854,-2.0726625067343107,-0.03462787717580795,-0.08618546277284622,-2.104546780612771,0.059903759000099054,-0.031884273878460156,-0.031884273878460156,0.017909225897724042,0.6136956810992426,0.5867365123672028,0.6136956810992426,0.5867365123672028,1,1,200,1,1,1,-0.022705629467964172,-0.0910937562584877,0.05999407544732094,7.037009280366254e-06
mode_gap_seed3,gap,3,3,14264,0.03370531648397446,-0.004740066826343536,1.123503037602049,0.016260884702205658,0.05637810379266739,-2.9114340030081554,0.06355894099183305,2.248248266569382,0.6774519397744854,0.014391568490372895,0.6487226340032323,0.6337734572718142,0.6487226340032323,0.6337734572718142,1,1,200,1,1,1,0.007102112285792828,0.062322475016117096,0.060002751648426056,2.855526747267387e-06
mode_gap_seed3,gap,3,3,14312,0.11776190996170044,0.135576993227005,0.9529388065162596,0.08707208931446075,0.07434754818677902,1.5713044795168556,0.06849021850814753,0.618365673000596,0.618365673000596,0.018825842893792303,0.7451987236859672,0.7059977170754573,0.7451987236859672,0.7059977170754573,1,1,200,1,1,1,0.09414330124855042,0.06793010234832764,0.059998370707035065,0.00031925640243761624
mode_gap_seed3,gap,3,3,14327,-0.09725576639175415,-0.1199013814330101,-0.6714141868136592,-0.0860251784324646,-0.045594848692417145,2.3427395320439204,0.07515042856724206,3.0141537188575795,-0.12743893473221357,0.019825008558857563,0.5314465473630758,0.5309362033989492,0.5314465473630758,0.5309362033989492,1,1,200,1,1,1,-0.07809308171272278,-0.05280490592122078,0.05999404191970825,0.00014218520016840656
mode_gap_seed3,gap,3,3,14345,-0.08880793303251266,-0.06332287192344666,1.9975584669910462,-0.019685879349708557,-0.05376617610454559,-0.28846629151992564,0.06977957251447915,-2.2860247585109716,-0.7152284317160751,0.018428366443920034,0.5299885635069401,0.5977371528845558,0.5977371528845558,0.5299885635069401,0,0,200,1,0,1,-0.018200116232037544,-0.11059035360813141,0.019999906420707703,0.031914171489350246
mode_gap_seed3,gap,3,3,14385,-0.0160517580807209,-0.05813264846801758,1.6349127323188952,0.025804515928030014,-0.10283026844263077,2.647338149369621,0.06123581391057505,1.0124254170507259,-0.5583709097441707,0.007758216912029426,0.6017627450383592,0.6490026900882155,0.6490026900882155,0.6017627450383592,1,1,200,1,1,1,0.029868576675653458,-0.11952928453683853,0.059999462217092514,7.340708873658696e-06
mode_gap_seed3,gap,3,3,14397,0.05673776566982269,0.06957416236400604,2.0114797389985464,0.11055554449558258,0.04257795214653015,-2.9565947844326157,0.06020920763342231,1.3151107837484233,-0.2556855430464733,0.004103933413717127,0.6753311705346783,0.7268037769283217,0.7268037769283217,0.6753311705346783,1,1,200,1,1,1,0.11347737163305283,0.027764637023210526,0.059990912675857544,0.001242721066976404
