run_id,ckpt_tag,obs_mode,policy_seed,repeat_idx,seed,env_idx,cubeA_x,cubeA_y,cubeA_z,cubeA_theta,cubeB_x,cubeB_y,cubeB_z,cubeB_theta,separation,relative_yaw,relative_yaw_mod90,success_once,success_at_end,ep_len,return,success,ever_success,first_success_step,is_cubeA_grasped,ever_is_cubeA_grasped,first_is_cubeA_grasped_step,is_cubeA_on_cubeB,ever_is_cubeA_on_cubeB,first_is_cubeA_on_cubeB_step,is_cubeA_static,ever_is_cubeA_static,first_is_cubeA_static_step,final_cubeA_x,final_cubeA_y,final_cubeA_z,cubeB_displacement
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2212,0,0.015520606189966202,-0.07070829719305038,0.019999999552965164,-0.13949900634082057,-0.038446251302957535,-0.019911833107471466,0.019999999552965164,-2.9882000179818053,0.07411276861148183,-2.848701011640985,0.2928916419488079,1,1,200,114.0,1,1,87,0,1,46,1,1,86,1,1,1,-0.04124659299850464,-0.013997443951666355,0.06000175327062607,8.037731446362249e-06
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2258,1,-0.09743046015501022,-0.154409721493721,0.019999999552965164,-1.2858111946276454,-0.09065470099449158,-0.09310083091259003,0.019999999552965164,1.662531752224911,0.06168217713805539,2.9483429468525566,-0.19324970673723652,0,0,200,0.0,0,0,-1,0,1,47,0,1,159,1,1,1,-0.039419710636138916,-0.08901623636484146,0.019999900832772255,0.0020595527689937533
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2275,2,0.004501808434724808,-0.17986075580120087,0.019999999552965164,0.13599698597334697,0.08102108538150787,-0.18350397050380707,0.019999999552965164,1.7044552240471418,0.07660595771758076,1.5684582380737948,-0.00233808872110175,1,1,200,101.0,1,1,100,0,1,46,1,1,94,1,1,1,0.08317150175571442,-0.19453027844429016,0.05999515950679779,4.221771417767496e-06
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2278,3,0.005504496395587921,0.021153096109628677,0.019999999552965164,-1.8921564220312597,-0.05644124746322632,0.047237638384103775,0.019999999552965164,2.3935719015915913,0.06721367813094817,-1.9974569835567353,-0.42666065676183873,1,0,200,3.0,0,1,94,0,1,48,0,1,91,1,1,1,-0.008700273931026459,-0.019762730225920677,0.019999928772449493,0.007306156262169973
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2313,4,0.011624090373516083,0.12897568941116333,0.019999999552965164,0.9283673948122857,-0.04706612974405289,0.10499439388513565,0.019999999552965164,-1.5369361141421187,0.0634006661838452,-2.4653035089544044,0.6762891446353887,1,1,200,110.0,1,1,91,0,1,45,1,1,91,1,1,1,-0.03880519047379494,0.09466128051280975,0.05999677628278732,0.007636585929662263
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2340,5,0.10045807808637619,0.00039668381214141846,0.019999999552965164,0.7956297380899562,0.09324568510055542,0.05867670476436615,0.019999999552965164,-2.0138944000547294,0.05872460689330896,-2.8095241381446856,0.3320685154451075,1,1,200,111.0,1,1,90,0,1,52,1,1,88,1,1,1,0.08617809414863586,0.0659591481089592,0.0599982887506485,3.92716279716402e-06
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2371,6,-0.0765581876039505,0.0269010066986084,0.019999999552965164,-1.7831924938822885,-0.1371442973613739,0.03363850712776184,0.019999999552965164,-0.9499318629179463,0.060959581753579954,0.8332606309643422,-0.7375356958305543,0,0,200,0.0,0,0,-1,0,0,-1,0,0,-1,1,1,1,-0.026070483028888702,0.030909642577171326,0.019999900832772255,0.046234052549870404
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2400,7,0.04628709703683853,0.02255774289369583,0.019999999552965164,-3.0868273477140438,0.07840549945831299,-0.05049969255924225,0.019999999552965164,-0.7319215572413085,0.07980589357351993,2.3549057904727353,0.7841094636778387,0,0,200,0.0,0,0,-1,0,1,46,0,1,83,1,1,1,0.04186878725886345,-0.11585061252117157,0.01999989151954651,0.035619118534337336
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2424,8,0.04254939407110214,0.017008058726787567,0.019999999552965164,-0.24786024990209166,-0.004177488386631012,0.07003260403871536,0.019999999552965164,0.20724020701017087,0.07067534187929687,0.45510045691226253,0.45510045691226253,1,1,200,121.0,1,1,80,0,1,38,1,1,79,1,1,1,-0.006580448243767023,0.07273906469345093,0.06000171974301338,5.402999784493717e-05
/workspace/ripl/t2/region,best_eval_success_once.pt,rgb,1,0,2427,9,0.0032963380217552185,0.02213967591524124,0.019999999552965164,-0.8494718887239325,0.05535483360290527,0.08275363594293594,0.019999999552965164,-2.4499592954292293,0.07990080795844051,-1.6004874067052963,-0.029691079910399765,1,1,200,118.0,1,1,83,0,1,39,1,1,82,1,1,1,0.05223037675023079,0.07435489445924759,0.05999811366200447,2.6832436182154874e-07
