run_id,mode,block,policy_seed,seed,cubeA_x,cubeA_y,cubeA_theta,cubeB_x,cubeB_y,cubeB_theta,separation,relative_yaw,relative_yaw_mod90,face_gap,dist_A,dist_B,dist_max,dist_min,success_once,success_at_end,ep_len,ever_grasped,ever_placed,ever_static,final_cubeA_x,final_cubeA_y,final_cubeA_z,cubeB_displacement
mode_farb_seed3,farb,3,3,15846,-0.02202371507883072,0.003939710557460785,-1.8609864080438925,0.1566987782716751,-0.01304706186056137,1.8972338662549522,0.17952793673020162,-2.5249650328807416,0.6166276207090515,0.12959581584152613,0.5929893724158877,0.7718090633111205,0.7718090633111205,0.5929893724158877,1,1,200,1,1,1,0.14182396233081818,-0.018840955570340157,0.059996623545885086,2.497114807724454e-06
mode_farb_seed3,farb,3,3,15853,0.05821330100297928,-0.1284870058298111,0.8539921589118653,0.17429523169994354,-0.13739052414894104,2.4115811521854433,0.11642288122527245,1.557588993273578,-0.013207333521318532,0.060397567820999934,0.6853649096024963,0.8011636030862787,0.8011636030862787,0.6853649096024963,1,1,200,1,1,1,0.1636822372674942,-0.14300760626792908,0.05999903753399849,0.00037729120933288114
mode_farb_seed3,farb,3,3,15873,-0.0022750496864318848,-0.08212311565876007,-0.8697540908281685,0.16729144752025604,-0.1396864652633667,0.9924582909415651,0.1790707575028594,1.8622123817697336,0.291416054974837,0.1272750811729397,0.6182039071878037,0.7946648459829535,0.7946648459829535,0.6182039071878037,0,0,200,1,1,1,0.13822925090789795,-0.0922890305519104,0.02000122144818306,6.500299168220403e-05
mode_farb_seed3,farb,3,3,15913,0.08942152559757233,-0.09215625375509262,2.0114552284353566,0.10296128690242767,0.26887014508247375,3.1316387640283017,0.3612802039882811,1.120183535592945,-0.4506127912019515,0.31377755312634925,0.710424141503781,0.7666547882895277,0.7666547882895277,0.710424141503781,0,0,200,1,0,1,0.10939435660839081,0.2336551696062088,0.019999975338578224,0.008541436903756505
mode_farb_seed3,farb,3,3,15926,0.04496855288743973,-0.12619246542453766,2.924555008897331,0.16121181845664978,-0.24271850287914276,-1.7511394519525485,0.1645928740713459,1.607490846329707,0.03669451953481051,0.10913307805494907,0.6719248686648415,0.8132755122046105,0.8132755122046105,0.6719248686648415,1,1,200,1,1,1,0.1480136215686798,-0.24184435606002808,0.05999760702252388,0.0001426657071384712
mode_farb_seed3,farb,3,3,15993,0.07642341405153275,-0.14234986901283264,0.26110821018783925,0.14238093793392181,-0.23849733173847198,-1.5473335044121477,0.11659643881900567,-1.8084417145999865,-0.23764538780508992,0.06339260568517333,0.705924799611579,0.7940446224186887,0.7940446224186887,0.705924799611579,0,0,200,1,1,1,0.11113865673542023,-0.2338356226682663,0.019999919459223747,0.041763284548002655
mode_farb_seed3,farb,3,3,16019,0.03369738906621933,-0.15959049761295319,-2.293378030834724,0.15095645189285278,0.13191375136375427,0.3392509475853891,0.3142044159244975,2.632628978420113,-0.5089636751696802,0.2604510533727021,0.668039990950901,0.7772326061065288,0.7772326061065288,0.668039990950901,1,1,200,1,1,1,0.15534426271915436,0.12938950955867767,0.060001522302627563,0.00036181608545237596
mode_farb_seed3,farb,3,3,16036,0.054520756006240845,-0.0945056602358818,2.111760874630285,0.16186000406742096,0.10019354522228241,0.9210345478370536,0.2223274494532333,-1.1907263267932313,0.38007000000166524,0.17229413400990218,0.6761577941130222,0.7832944608663097,0.7832944608663097,0.6761577941130222,1,1,200,1,1,1,0.16277526319026947,0.08740396797657013,0.05999750643968582,7.398242704454905e-07
mode_farb_seed3,farb,3,3,16069,0.043995730578899384,0.14786016941070557,-2.192851352957158,0.13113152980804443,0.2488650679588318,-2.5099887114529658,0.13339654057740458,-0.31713735849580793,-0.31713735849580793,0.08769058371361368,0.6753798950364008,0.7865405786250615,0.7865405786250615,0.6753798950364008,1,1,200,1,1,1,0.11916327476501465,0.2522238492965698,0.0599810890853405,1.5662531070078507e-06
mode_farb_seed3,farb,3,3,16136,0.0344342365860939,-0.004275165498256683,3.091386794320195,0.15134790539741516,0.04864934831857681,0.10412008102933301,0.1283347580263099,-2.987266713290862,0.1543259402989312,0.07611144038476024,0.6494483079431342,0.7678905333436712,0.7678905333436712,0.6494483079431342,1,1,200,1,1,1,0.1389538198709488,0.051174916326999664,0.06000209227204323,4.382070553289504e-06
